cp,cordon,zona,moto,auto
1602,cordon 1,zonanorte,4400,5100
1603,cordon 1,zonanorte,4400,5100
1604,cordon 1,zonanorte,4400,5100
1605,cordon 1,zonanorte,4400,5100
1606,cordon 1,zonanorte,4400,5100
1607,cordon 1,zonanorte,4400,5100
1609,cordon 2,zonanorte,5500,5900
1613,cordon 2,zonaoeste,5500,5900
1614,cordon 2,zonaoeste,5500,5900
1615,cordon 2,zonaoeste,5500,5900
1617,cordon 2,zonaoeste,5500,5900
1625,cordon 3,zonanorte,6900,6900
1626,cordon 3,zonanorte,6900,6900
1627,cordon 3,zonanorte,6900,6900
1628,cordon 3,zonanorte,6900,6900
1629,cordon 3,zonanorte,6900,6900
1630,cordon 3,zonanorte,6900,6900
1631,cordon 3,zonanorte,6900,6900
1632,cordon 3,zonanorte,6900,6900
1633,cordon 3,zonanorte,6900,6900
1634,cordon 3,zonanorte,6900,6900
1635,cordon 3,zonanorte,6900,6900
1636,cordon 1,zonanorte,4400,5100
1638,cordon 1,zonanorte,4400,5100
1641,cordon 2,zonanorte,5500,5900
1642,cordon 1,zonanorte,4400,5100
1646,cordon 2,zonanorte,5500,5900
1648,cordon 2,zonanorte,5500,5900
1649,cordon 2,zonanorte,5500,5900
1650,cordon 1,zonanorte,4400,5100
1651,cordon 1,zonanorte,4400,5100
1653,cordon 1,zonanorte,4400,5100
1663,cordon 2,zonanorte,5500,5900
1664,cordon 2,zonanorte,5500,5900
1665,cordon 2,zonanorte,5500,5900
1666,cordon 2,zonaoeste,5500,5900
1674,cordon 1,zonasur,4400,5100
1675,cordon 1,zonasur,4400,5100
1676,cordon 1,zonasur,4400,5100
1677,cordon 1,zonasur,4400,5100
1678,cordon 1,zonasur,4400,5100
1686,cordon 2,zonasur,5500,5900
1687,cordon 2,zonasur,5500,5900
1688,cordon 2,zonasur,5500,5900
1702,cordon 1,zonasur,4400,5100
1704,cordon 1,zonasur,4400,5100
1705,cordon 1,zonasur,4400,5100
1706,cordon 1,zonasur,4400,5100
1706,cordon 1,zonasur,4400,5100
1708,cordon 1,zonasur,4400,5100
1714,cordon 2,zonasur,5500,5900
1715,cordon 2,zonasur,5500,5900
1716,cordon 2,zonasur,5500,5900
1722,cordon 3,zonasur,6900,6900
1723,cordon 3,zonasur,6900,6900
1724,cordon 3,zonasur,6900,6900
1725,cordon 3,zonasur,6900,6900
1730,cordon 1,zonasur,4400,5100
1731,cordon 1,zonasur,4400,5100
1732,cordon 1,zonasur,4400,5100
1733,cordon 1,zonasur,4400,5100
1734,cordon 1,zonasur,4400,5100
1735,cordon 1,zonasur,4400,5100
1736,cordon 1,zonasur,4400,5100
1739,cordon 1,zonasur,4400,5100
1742,cordon 1,zonasur,4400,5100
1743,cordon 1,zonasur,4400,5100
1750,cordon 1,zonasur,4400,5100
1751,cordon 1,zonasur,4400,5100
1752,cordon 1,zonasur,4400,5100
1753,cordon 1,zonasur,4400,5100
1754,cordon 1,zonasur,4400,5100
1763,cordon 1,zonasur,4400,5100
1765,cordon 1,zonasur,4400,5100
1766,cordon 1,zonasur,4400,5100
1802,cordon 3,zonasur,6900,6900
1803,cordon 3,zonasur,6900,6900
1804,cordon 3,zonasur,6900,6900
1805,cordon 3,zonasur,6900,6900
1806,cordon 3,zonasur,6900,6900
1812,cordon 3,zonasur,6900,6900
1824,cordon 1,zonasur,4400,5100
1825,cordon 1,zonasur,4400,5100
1826,cordon 1,zonasur,4400,5100
1827,cordon 1,zonasur,4400,5100
1832,cordon 2,zonasur,5500,5900
1833,cordon 2,zonasur,5500,5900
1834,cordon 2,zonasur,5500,5900
1835,cordon 2,zonasur,5500,5900
1836,cordon 2,zonasur,5500,5900
1838,cordon 2,zonasur,5500,5900
1846,cordon 3,zonasur,6900,6900
1847,cordon 3,zonasur,6900,6900
1848,cordon 3,zonasur,6900,6900
1849,cordon 3,zonasur,6900,6900
1852,cordon 3,zonasur,6900,6900
1870,cordon 1,zonasur,4400,5100
1871,cordon 1,zonasur,4400,5100
1872,cordon 1,zonasur,4400,5100
1873,cordon 1,zonasur,4400,5100
1874,cordon 1,zonasur,4400,5100
1875,cordon 1,zonasur,4400,5100
1876,cordon 1,zonasur,4400,5100
1877,cordon 1,zonasur,4400,5100
1878,cordon 2,zonasur,5500,5900
1879,cordon 2,zonasur,5500,5900
1880,cordon 2,zonasur,5500,5900
1881,cordon 2,zonasur,5500,5900
1882,cordon 2,zonasur,5500,5900
1883,cordon 2,zonasur,5500,5900
1884,cordon 2,zonasur,5500,5900
1884,cordon 3,zonasur,6900,6900
1885,cordon 3,zonasur,6900,6900
1886,cordon 3,zonasur,6900,6900
1887,cordon 3,zonasur,6900,6900
1888,cordon 3,zonasur,6900,6900
1889,cordon 3,zonasur,6900,6900
1890,cordon 3,zonasur,6900,6900
1900,cordon 3,zonasur,6900,6900
1901,cordon 3,zonasur,6900,6900
1902,cordon 3,zonasur,6900,6900
1903,cordon 3,zonasur,6900,6900
1904,cordon 3,zonasur,6900,6900
1905,cordon 3,zonasur,6900,6900
1906,cordon 3,zonasur,6900,6900
1907,cordon 3,zonasur,6900,6900
1908,cordon 3,zonasur,6900,6900
1909,cordon 3,zonasur,6900,6900
