cp,cordon,zona,moto,auto
1602,cordon 1,zonanorte,8000,8000
1603,cordon 1,zonanorte,8000,8000
1604,cordon 1,zonanorte,8000,8000
1605,cordon 1,zonanorte,8000,8000
1606,cordon 1,zonanorte,8000,8000
1607,cordon 1,zonanorte,8000,8000
1611,cordon 2,zonanorte,9500,9500
1612,cordon 2,zonanorte,9500,9500
1609,cordon 2,zonanorte,9500,9500
1613,cordon 2,zonaoeste,9500,9500
1614,cordon 2,zonaoeste,9500,9500
1615,cordon 2,zonaoeste,9500,9500
1617,cordon 2,zonaoeste,9500,9500
1625,cordon 3,zonanorte,14000,14000
1626,cordon 3,zonanorte,14000,14000
1627,cordon 3,zonanorte,14000,14000
1628,cordon 3,zonanorte,14000,14000
1629,cordon 3,zonanorte,14000,14000
1630,cordon 3,zonanorte,14000,14000
1634,cordon 3,zonanorte,14000,14000
1635,cordon 3,zonanorte,14000,14000
1636,cordon 1,zonanorte,8000,8000
1638,cordon 1,zonanorte,8000,8000
1641,cordon 2,zonanorte,9500,9500
1642,cordon 1,zonanorte,8000,8000
1646,cordon 2,zonanorte,9500,9500
1648,cordon 2,zonanorte,9500,9500
1649,cordon 2,zonanorte,9500,9500
1650,cordon 1,zonanorte,8000,8000
1651,cordon 1,zonanorte,8000,8000
1653,cordon 1,zonanorte,8000,8000
1663,cordon 2,zonanorte,9500,9500
1664,cordon 2,zonanorte,9500,9500
1665,cordon 2,zonanorte,9500,9500
1666,cordon 2,zonaoeste,9500,9500
1674,cordon 1,zonasur,8000,8000
1675,cordon 1,zonasur,8000,8000
1676,cordon 1,zonasur,8000,8000
1677,cordon 1,zonasur,8000,8000
1678,cordon 1,zonasur,8000,8000
1686,cordon 2,zonasur,9500,9500
1687,cordon 2,zonasur,9500,9500
1688,cordon 2,zonasur,9500,9500
1702,cordon 1,zonasur,8000,8000
1704,cordon 1,zonasur,8000,8000
1705,cordon 1,zonasur,8000,8000
1706,cordon 1,zonasur,8000,8000
1706,cordon 1,zonasur,8000,8000
1708,cordon 1,zonasur,8000,8000
1714,cordon 2,zonasur,9500,9500
1715,cordon 2,zonasur,9500,9500
1716,cordon 2,zonasur,9500,9500
1722,cordon 3,zonasur,14000,14000
1723,cordon 3,zonasur,14000,14000
1724,cordon 3,zonasur,14000,14000
1725,cordon 3,zonasur,14000,14000
1730,cordon 1,zonasur,8000,8000
1731,cordon 1,zonasur,8000,8000
1732,cordon 1,zonasur,8000,8000
1733,cordon 1,zonasur,8000,8000
1734,cordon 1,zonasur,8000,8000
1735,cordon 1,zonasur,8000,8000
1736,cordon 1,zonasur,8000,8000
1739,cordon 1,zonasur,8000,8000
1742,cordon 1,zonasur,8000,8000
1743,cordon 1,zonasur,8000,8000
1750,cordon 1,zonasur,8000,8000
1751,cordon 1,zonasur,8000,8000
1752,cordon 1,zonasur,8000,8000
1753,cordon 1,zonasur,8000,8000
1754,cordon 1,zonasur,8000,8000
1765,cordon 1,zonasur,8000,8000
1766,cordon 1,zonasur,8000,8000
1802,cordon 3,zonasur,14000,14000
1803,cordon 3,zonasur,14000,14000
1805,cordon 3,zonasur,14000,14000
1806,cordon 3,zonasur,14000,14000
1812,cordon 3,zonasur,14000,14000
1824,cordon 1,zonasur,8000,8000
1825,cordon 1,zonasur,8000,8000
1826,cordon 1,zonasur,8000,8000
1827,cordon 1,zonasur,8000,8000
1832,cordon 2,zonasur,9500,9500
1833,cordon 2,zonasur,9500,9500
1834,cordon 2,zonasur,9500,9500
1835,cordon 2,zonasur,9500,9500
1836,cordon 2,zonasur,9500,9500
1838,cordon 2,zonasur,9500,9500
1846,cordon 3,zonasur,14000,14000
1847,cordon 3,zonasur,14000,14000
1848,cordon 3,zonasur,14000,14000
1849,cordon 3,zonasur,14000,14000
1852,cordon 3,zonasur,14000,14000
1870,cordon 1,zonasur,8000,8000
1871,cordon 1,zonasur,8000,8000
1872,cordon 1,zonasur,8000,8000
1873,cordon 1,zonasur,8000,8000
1874,cordon 1,zonasur,8000,8000
1875,cordon 1,zonasur,8000,8000
1876,cordon 1,zonasur,8000,8000
1877,cordon 1,zonasur,8000,8000
1878,cordon 2,zonasur,9500,9500
1879,cordon 2,zonasur,9500,9500
1880,cordon 2,zonasur,9500,9500
1881,cordon 2,zonasur,9500,9500
1882,cordon 2,zonasur,9500,9500
1883,cordon 2,zonasur,9500,9500
1884,cordon 2,zonasur,9500,9500
1884,cordon 3,zonasur,14000,14000
1885,cordon 3,zonasur,14000,14000
1886,cordon 3,zonasur,14000,14000
1887,cordon 3,zonasur,14000,14000
1888,cordon 3,zonasur,14000,14000
1889,cordon 3,zonasur,14000,14000
1890,cordon 3,zonasur,14000,14000
1900,cordon 3,zonasur,14000,14000
1901,cordon 3,zonasur,14000,14000
1902,cordon 3,zonasur,14000,14000
1903,cordon 3,zonasur,14000,14000
1904,cordon 3,zonasur,14000,14000
1905,cordon 3,zonasur,14000,14000
1906,cordon 3,zonasur,14000,14000
1907,cordon 3,zonasur,14000,14000
1908,cordon 3,zonasur,14000,14000
1909,cordon 3,zonasur,14000,14000
